name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
5695791,100044,100044,-79.918875,37.265521,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.918875 37.265521),0,,
5695792,100045,100045,-79.963834,37.270714,3,4808,stop,,,,Valley Metro Roanoke,POINT (-79.963834 37.270714),0,,
5695793,100046,100046,-79.965039,37.269104,3,4808,stop,,,,Valley Metro Roanoke,POINT (-79.965039 37.269104),0,,
5695794,100047,100047,-79.91934,37.270591,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.91934 37.270591),0,,
5695795,100048,100048,-79.970205,37.275956,3,4807,stop,,,,Valley Metro Roanoke,POINT (-79.970205 37.275956),0,,
5695796,100049,100049,-79.970942,37.274089,3,4806,stop,,,,Valley Metro Roanoke,POINT (-79.970942 37.274089),0,,
5695797,100050,100050,-79.965152,37.294001,3,4782,stop,,,,Valley Metro Roanoke,POINT (-79.965152 37.294001),0,,
5695804,100051,100051,-80.052738,37.287093,3,4818,stop,,,,Valley Metro Roanoke,POINT (-80.052738 37.287093),0,,
5695805,100052,100052,-79.947146,37.279085,3,4724,stop,,,,Valley Metro Roanoke,POINT (-79.947146 37.279085),0,,
5695808,100053,100053,-79.908859,37.282171,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.908859 37.282171),0,,
5695809,100054,100054,-79.909114,37.280484,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.909114 37.280484),0,,
5695810,100055,100055,-79.909196,37.280565,3,4780,stop,,,,Valley Metro Roanoke,POINT (-79.909196 37.280565),0,,
5695811,100056,100056,-79.924424,37.257914,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.924424 37.257914),0,,
5695812,100057,100057,-79.926505,37.263353,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.926505 37.263353),0,,
5695813,100058,100058,-79.954678,37.277078,3,4810,stop,,,,Valley Metro Roanoke,POINT (-79.954678 37.277078),0,,
5695814,100059,100059,-79.928007,37.267485,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.928007 37.267485),0,,
5695815,100060,100060,-79.926984,37.264686,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.926984 37.264686),0,,
5695816,100061,100061,-79.92512,37.259682,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.92512 37.259682),0,,
5695817,100062,100062,-79.925931,37.261878,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.925931 37.261878),0,,
5695818,100063,100063,-79.924784,37.254029,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.924784 37.254029),0,,
5695819,100064,100064,-79.929276,37.270826,3,4833,stop,,,,Valley Metro Roanoke,POINT (-79.929276 37.270826),0,,
5695820,100065,100065,-79.924597,37.257994,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.924597 37.257994),0,,
5695821,100066,100066,-79.926779,37.263646,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.926779 37.263646),0,,
5695822,100067,100067,-79.954653,37.277237,3,4811,stop,,,,Valley Metro Roanoke,POINT (-79.954653 37.277237),0,,
5695823,100068,100068,-79.929192,37.270102,3,4832,stop,,,,Valley Metro Roanoke,POINT (-79.929192 37.270102),0,,
5695825,100069,100069,-79.924785,37.255261,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.924785 37.255261),0,,
5695826,100070,100070,-79.92724,37.264895,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.92724 37.264895),0,,
5695827,100071,100071,-79.925297,37.259668,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.925297 37.259668),0,,
5695828,100072,100072,-79.926119,37.261946,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.926119 37.261946),0,,
5695829,100073,100073,-79.958464,37.31975,3,4791,stop,,,,Valley Metro Roanoke,POINT (-79.958464 37.31975),0,,
5695830,100074,100074,-79.956005,37.318173,3,4791,stop,,,,Valley Metro Roanoke,POINT (-79.956005 37.318173),0,,
5695831,100075,100075,-79.95893,37.31996,3,4792,stop,,,,Valley Metro Roanoke,POINT (-79.95893 37.31996),0,,
5695832,100076,100076,-79.956005,37.318009,3,4792,stop,,,,Valley Metro Roanoke,POINT (-79.956005 37.318009),0,,
5695834,100077,100077,-79.965268,37.294066,3,4724,stop,,,,Valley Metro Roanoke,POINT (-79.965268 37.294066),0,,
5695835,100078,100078,-79.970728,37.295919,3,4724,stop,,,,Valley Metro Roanoke,POINT (-79.970728 37.295919),0,,
5695836,100079,100079,-79.968157,37.294629,3,4724,stop,,,,Valley Metro Roanoke,POINT (-79.968157 37.294629),0,,
5695837,100080,100080,-79.968093,37.294699,3,4782,stop,,,,Valley Metro Roanoke,POINT (-79.968093 37.294699),0,,
5695838,100081,100081,-79.969708,37.295853,3,4782,stop,,,,Valley Metro Roanoke,POINT (-79.969708 37.295853),0,,
5695839,100082,100082,-79.910208,37.291031,3,4780,stop,,,,Valley Metro Roanoke,POINT (-79.910208 37.291031),0,,
5695840,100083,100083,-80.031195,37.269613,3,4818,stop,,,,Valley Metro Roanoke,POINT (-80.031195 37.269613),0,,
5695841,100084,100084,-80.028931,37.268618,3,4818,stop,,,,Valley Metro Roanoke,POINT (-80.028931 37.268618),0,,
5695842,100085,100085,-80.042744,37.272256,3,4817,stop,,,,Valley Metro Roanoke,POINT (-80.042744 37.272256),0,,
5695843,100086,100086,-80.036471,37.271372,3,4818,stop,,,,Valley Metro Roanoke,POINT (-80.036471 37.271372),1,,
5695844,100087,100087,-80.049332,37.273182,3,4817,stop,,,,Valley Metro Roanoke,POINT (-80.049332 37.273182),0,,
5695845,100088,100088,-79.938993,37.254547,3,4836,stop,,,,Valley Metro Roanoke,POINT (-79.938993 37.254547),0,,
5695846,100089,100089,-79.937533,37.258293,3,4836,stop,,,,Valley Metro Roanoke,POINT (-79.937533 37.258293),0,,
5695847,100090,100090,-79.942804,37.252085,3,4803,stop,,,,Valley Metro Roanoke,POINT (-79.942804 37.252085),0,,
5695848,100091,100091,-79.939047,37.254613,3,4803,stop,,,,Valley Metro Roanoke,POINT (-79.939047 37.254613),0,,
5695849,100092,100092,-79.937618,37.258337,3,4803,stop,,,,Valley Metro Roanoke,POINT (-79.937618 37.258337),0,,
5695850,100093,100093,-79.913561,37.262282,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.913561 37.262282),0,,
5695851,100094,100094,-79.913549,37.256538,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.913549 37.256538),0,,
5695852,100095,100095,-79.914791,37.254418,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.914791 37.254418),0,,
5695853,100096,100096,-79.912924,37.259944,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.912924 37.259944),0,,
5695854,100097,100097,-79.913894,37.262482,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.913894 37.262482),0,,
5695855,100098,100098,-79.913836,37.255928,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.913836 37.255928),0,,
5695856,100099,100099,-79.913128,37.260062,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.913128 37.260062),0,,
5695857,100100,100100,-79.917521,37.251287,3,4835,stop,,,,Valley Metro Roanoke,POINT (-79.917521 37.251287),0,,
5695858,100101,100101,-79.915369,37.251193,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.915369 37.251193),0,,
5695859,100102,100102,-79.914579,37.251128,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.914579 37.251128),0,,
5695860,100103,100103,-79.89108,37.309548,3,4780,stop,,,,Valley Metro Roanoke,POINT (-79.89108 37.309548),1,,
5695861,100104,100104,-79.903234,37.307996,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.903234 37.307996),0,,
5695862,100105,100105,-79.897787,37.311301,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.897787 37.311301),0,,
5695863,100106,100106,-79.889783,37.308097,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.889783 37.308097),0,,
5695864,100107,100107,-79.906665,37.305221,3,4793,stop,,,,Valley Metro Roanoke,POINT (-79.906665 37.305221),0,,
5695865,100108,100108,-80.028132,37.264414,3,4809,stop,,,,Valley Metro Roanoke,POINT (-80.028132 37.264414),0,,
5695866,100109,100109,-80.028109,37.264462,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.028109 37.264462),0,,
5695867,100110,100110,-79.968585,37.256834,3,4805,stop,,,,Valley Metro Roanoke,POINT (-79.968585 37.256834),0,,
5695868,100111,100111,-79.983889,37.246906,3,4805,stop,,,,Valley Metro Roanoke,POINT (-79.983889 37.246906),0,,
5695869,100112,100112,-79.973304,37.250866,3,4805,stop,,,,Valley Metro Roanoke,POINT (-79.973304 37.250866),0,,
5695870,100113,100113,-79.986791,37.24603,3,4805,stop,,,,Valley Metro Roanoke,POINT (-79.986791 37.24603),0,,
5695871,100114,100114,-79.977988,37.249827,3,4805,stop,,,,Valley Metro Roanoke,POINT (-79.977988 37.249827),0,,
5695872,100115,100115,-79.989441,37.24465,3,4805,stop,,,,Valley Metro Roanoke,POINT (-79.989441 37.24465),0,,
5695873,100116,100116,-79.971282,37.251762,3,4805,stop,,,,Valley Metro Roanoke,POINT (-79.971282 37.251762),0,,
5695874,100117,100117,-79.991009,37.243752,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.991009 37.243752),0,,
5695875,100118,100118,-79.968782,37.256784,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.968782 37.256784),0,,
5695876,100119,100119,-79.983829,37.247047,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.983829 37.247047),0,,
5695878,100120,100120,-79.98687,37.246145,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.98687 37.246145),0,,
5695879,100121,100121,-79.978051,37.249948,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.978051 37.249948),0,,
5695880,100122,100122,-79.980933,37.247908,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.980933 37.247908),0,,
5695881,100123,100123,-79.98914,37.244941,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.98914 37.244941),0,,
5695882,100124,100124,-79.971406,37.251856,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.971406 37.251856),0,,
5695883,100125,100125,-79.959402,37.256438,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.959402 37.256438),0,,
5695884,100126,100126,-79.992212,37.261281,3,4806,stop,,,,Valley Metro Roanoke,POINT (-79.992212 37.261281),0,,
5695885,100127,100127,-80.004161,37.263918,3,4809,stop,,,,Valley Metro Roanoke,POINT (-80.004161 37.263918),0,,
5695886,100128,100128,-80.022252,37.264779,3,4809,stop,,,,Valley Metro Roanoke,POINT (-80.022252 37.264779),0,,
5695887,100129,100129,-80.020004,37.264602,3,4809,stop,,,,Valley Metro Roanoke,POINT (-80.020004 37.264602),0,,
5695888,100130,100130,-79.963756,37.257108,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.963756 37.257108),0,,
5695889,100131,100131,-80.012268,37.26383,3,4809,stop,,,,Valley Metro Roanoke,POINT (-80.012268 37.26383),0,,
5695890,100132,100132,-80.002097,37.262601,3,4809,stop,,,,Valley Metro Roanoke,POINT (-80.002097 37.262601),0,,
5695891,100133,100133,-79.985587,37.259231,3,4806,stop,,,,Valley Metro Roanoke,POINT (-79.985587 37.259231),0,,
5695892,100134,100134,-80.004108,37.264021,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.004108 37.264021),0,,
5695893,100135,100135,-80.021992,37.26481,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.021992 37.26481),0,,
5695894,100136,100136,-80.019966,37.264678,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.019966 37.264678),0,,
5695895,100137,100137,-79.963724,37.257282,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.963724 37.257282),0,,
5695896,100138,100138,-79.987507,37.260473,3,4806,stop,,,,Valley Metro Roanoke,POINT (-79.987507 37.260473),0,,
5695897,100139,100139,-80.008038,37.265677,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.008038 37.265677),0,,
5695898,100140,100140,-80.018324,37.264272,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.018324 37.264272),0,,
5695899,100141,100141,-80.012256,37.263931,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.012256 37.263931),0,,
5695900,100142,100142,-80.002117,37.262717,3,4808,stop,,,,Valley Metro Roanoke,POINT (-80.002117 37.262717),0,,
5695901,100143,100143,-79.959504,37.25666,3,4804,stop,,,,Valley Metro Roanoke,POINT (-79.959504 37.25666),0,,
5695902,100144,100144,-79.923762,37.269881,3,4832,stop,,,,Valley Metro Roanoke,POINT (-79.923762 37.269881),0,,
5695904,100145,100145,-79.933298,37.267165,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.933298 37.267165),0,,
5695905,100146,100146,-79.928585,37.268268,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.928585 37.268268),0,,
5695906,100147,100147,-79.93135,37.267605,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.93135 37.267605),0,,
5695907,100148,100148,-79.934897,37.266857,3,4834,stop,,,,Valley Metro Roanoke,POINT (-79.934897 37.266857),0,,
5695908,100149,100149,-79.941156,37.283372,3,4783,stop,,,,Valley Metro Roanoke,POINT (-79.941156 37.283372),0,,
