link_id,from_node_id,to_node_id,allowed_uses,directed,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000019,1500029,1500005,bus,1,3894.2,1,service_links,460.38801683323334,37,999999,9.20469210596268,0,3.0,36999963,0.15,4,0,"LINESTRING (-79.945623 37.272268, -79.940582 37.271243)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000020,1500005,1500007,bus,1,3894.2,1,service_links,231.6029421831142,37,999999,6.944615957514669,0,2.0,36999963,0.15,4,0,"LINESTRING (-79.940582 37.271243, -79.940657 37.269161)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000021,1500007,1500009,bus,1,3894.2,1,service_links,357.4518612410599,37,999999,7.146655006485703,0,3.0,36999963,0.15,4,0,"LINESTRING (-79.940657 37.269161, -79.941055 37.265962)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000022,1500009,1500036,bus,1,3894.2,1,service_links,284.5608604642816,37,999999,8.532559534161367,0,2.0,36999963,0.15,4,0,"LINESTRING (-79.941055 37.265962, -79.941404 37.263418)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,4,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000023,1500036,1500025,bus,1,3894.2,1,service_links,318.9162212448698,37,999999,6.376199025222322,0,3.0,36999963,0.15,4,0,"LINESTRING (-79.941404 37.263418, -79.941503 37.260551)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,5,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000024,1500025,1500011,bus,1,3894.2,1,service_links,488.7258806353804,37,999999,14.654449194464181,0,2.0,36999963,0.15,4,0,"LINESTRING (-79.941503 37.260551, -79.94216 37.256187)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,6,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000025,1500011,1500034,bus,1,3894.2,1,service_links,814.9789386797127,37,999999,24.437149585598583,0,2.0,36999963,0.15,4,0,"LINESTRING (-79.94216 37.256187, -79.944633 37.249127)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,7,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000026,1500034,1500032,bus,1,3894.2,1,service_links,104.92438035122892,37,999999,6.28917364742631,0,1.0,36999963,0.15,4,0,"LINESTRING (-79.944633 37.249127, -79.94552 37.249753)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,8,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000027,1500032,1500013,bus,1,3894.2,1,service_links,315.1441024407256,37,999999,6.30078178821844,0,3.0,36999963,0.15,4,0,"LINESTRING (-79.94552 37.249753, -79.943068 37.251808)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,9,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000028,1500013,1500015,bus,1,3894.2,1,service_links,484.25176663107544,37,999999,9.681808063267088,0,3.0,36999963,0.15,4,0,"LINESTRING (-79.943068 37.251808, -79.943233 37.256161)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,10,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000029,1500015,1500027,bus,1,3894.2,1,service_links,512.5538455485423,37,999999,7.686386086706458,0,4.0,36999963,0.15,4,0,"LINESTRING (-79.943233 37.256161, -79.941436 37.260543)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,11,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000030,1500027,1500017,bus,1,3894.2,1,service_links,583.8537255752574,37,999999,34.99622730720824,0,1.0,36999963,0.15,4,0,"LINESTRING (-79.941436 37.260543, -79.940977 37.265781)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,12,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000031,1500017,1500019,bus,1,3894.2,1,service_links,288.06050372764355,37,999999,17.266363859798815,0,1.0,36999963,0.15,4,0,"LINESTRING (-79.940977 37.265781, -79.940632 37.268357)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,13,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000032,1500019,1500021,bus,1,3894.2,1,service_links,178.27841570531407,37,999999,10.686018923395451,0,1.0,36999963,0.15,4,0,"LINESTRING (-79.940632 37.268357, -79.940551 37.269959)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,14,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000033,1500021,1500023,bus,1,3894.2,1,service_links,139.14120824012147,37,999999,8.340132362045244,0,1.0,36999963,0.15,4,0,"LINESTRING (-79.940551 37.269959, -79.939109 37.270458)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,15,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000034,1500023,1500003,bus,1,3894.2,1,service_links,148.71310464457508,37,999999,8.913872406268236,0,1.0,36999963,0.15,4,0,"LINESTRING (-79.939109 37.270458, -79.93926 37.27179)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,16,3894.2:0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1000035,1500063,1500044,bus,1,3913.1,1,service_links,11928.538314627145,2,999999,47.71097252700678,0,15.0,1999998,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.1:0;1;2;3
1000036,1500044,1500056,bus,1,3913.1,1,service_links,41230.828901608555,2,999999,70.67940156271287,0,35.0,1999998,0.15,4,0,"LINESTRING (-80.371633 37.133394, -79.940434 37.273161)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.1:0;1;2;3
1000037,1500056,1500058,bus,1,3913.1,1,service_links,583.164572914004,2,999999,6.996575559856077,0,5.0,1999998,0.15,4,0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.1:0;1;2;3
1000038,1500064,1500045,bus,1,3913.1,1,service_links,11928.538314627145,1,999999,47.71097252700678,0,15.0,999999,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.1:0;1;2;3;4
1000039,1500045,1500040,bus,1,3913.1,1,service_links,34621.17351931316,1,999999,69.24003903732508,0,30.0,999999,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.1:0;1;2;3;4
1000040,1500040,1500057,bus,1,3913.1,1,service_links,11229.908272971417,1,999999,33.68804041689341,0,20.0,999999,0.15,4,0,"LINESTRING (-80.055211 37.316316, -79.940434 37.273161)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.1:0;1;2;3;4
1000041,1500057,1500059,bus,1,3913.1,1,service_links,583.164572914004,1,999999,6.996575559856077,0,5.0,999999,0.15,4,0,"LINESTRING (-79.940434 37.273161, -79.946962 37.27244)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,3,3913.1:0;1;2;3;4
1000042,1500065,1500053,bus,1,3913.1,1,service_links,7764.608408094995,1,999999,31.056363208166108,0,15.0,999999,0.15,4,0,"LINESTRING (-80.424586 37.232026, -80.42121 37.162249)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,0,3913.1:0;1;2;3;4;5
1000043,1500053,1500046,bus,1,3913.1,1,service_links,5440.821161773921,1,999999,32.64166280436309,0,10.0,999999,0.15,4,0,"LINESTRING (-80.42121 37.162249, -80.371633 37.133394)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,1,3913.1:0;1;2;3;4;5
1000044,1500046,1500041,bus,1,3913.1,1,service_links,34621.17351931316,1,999999,69.24003903732508,0,30.0,999999,0.15,4,0,"LINESTRING (-80.371633 37.133394, -80.055211 37.316316)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Valley Metro Roanoke,2,3913.1:0;1;2;3;4;5
