id,name,from_node_id,to_node_id,length,lanes,dir_flag,free_speed,capacity,link_type,link_type_name,geometry,allowed_uses,from_biway,is_link
1500033,bus_access_link,1500033,3582,0.019651458005390404,1,0,2.72727,0,-1,,"LINESTRING (-79.944733 37.249027, -79.94457 37.24928)",t,-1,True
1500034,bus_access_link,1500034,3582,0.019651458005390404,1,0,2.72727,0,-1,,"LINESTRING (-79.944733 37.249027, -79.94457 37.24928)",t,-1,True
1500035,bus_access_link,1500035,3712,0.007695137528995078,1,0,2.72727,0,-1,,"LINESTRING (-79.94150400000001 37.263318, -79.94137000000001 37.26335)",t,-1,True
1500036,bus_access_link,1500036,3712,0.007695137528995078,1,0,2.72727,0,-1,,"LINESTRING (-79.94150400000001 37.263318, -79.94137000000001 37.26335)",t,-1,True
1500037,bus_access_link,1500037,2881,0.05272661785158656,1,0,2.72727,0,-1,,"LINESTRING (-79.96937 37.32060199999999, -79.96850999999999 37.32094)",t,-1,True
1500038,bus_access_link,1500038,2881,0.05272661785158656,1,0,2.72727,0,-1,,"LINESTRING (-79.96937 37.32060199999999, -79.96850999999999 37.32094)",t,-1,True
1500039,bus_access_link,1500039,1468,0.03425874771439042,1,0,2.72727,0,-1,,"LINESTRING (-80.055311 37.316216, -80.05492 37.31583)",t,-1,True
1500040,bus_access_link,1500040,1468,0.03425874771439042,1,0,2.72727,0,-1,,"LINESTRING (-80.055311 37.316216, -80.05492 37.31583)",t,-1,True
1500041,bus_access_link,1500041,1468,0.03425874771439042,1,0,2.72727,0,-1,,"LINESTRING (-80.055311 37.316216, -80.05492 37.31583)",t,-1,True
1500042,bus_access_link,1500042,1468,0.03425874771439042,1,0,2.72727,0,-1,,"LINESTRING (-80.055311 37.316216, -80.05492 37.31583)",t,-1,True
1500043,bus_access_link,1500043,1468,0.03425874771439042,1,0,2.72727,0,-1,,"LINESTRING (-80.055311 37.316216, -80.05492 37.31583)",t,-1,True
1500044,bus_access_link,1500044,250,6.470748278735863,1,0,2.72727,0,-1,,"LINESTRING (-80.37173300000001 37.133294, -80.2786 37.19036)",t,-1,True
1500045,bus_access_link,1500045,250,6.470748278735863,1,0,2.72727,0,-1,,"LINESTRING (-80.37173300000001 37.133294, -80.2786 37.19036)",t,-1,True
