node_id,x_coord,y_coord,zone_id,is_centroid
1,-79.84201,37.26996,1.0,1.0
2,-79.83997,37.25162,2.0,1.0
3,-79.91477,37.36715,3.0,1.0
4,-79.89934,37.35268,4.0,1.0
5,-79.86451,37.34278,5.0,1.0
6,-79.83544,37.33614,6.0,1.0
7,-79.81168,37.36634,7.0,1.0
8,-79.8201,37.38608,8.0,1.0
9,-79.83156,37.37151,9.0,1.0
10,-79.85193,37.36099,10.0,1.0
11,-79.89344,37.36083,11.0,1.0
12,-79.88377,37.38543,12.0,1.0
13,-79.90532,37.40156,13.0,1.0
14,-79.91911,37.42717,14.0,1.0
15,-79.89482,37.4249,15.0,1.0
16,-79.9445,37.44454,16.0,1.0
17,-79.86991,37.3773,17.0,1.0
18,-79.89764,37.47025,18.0,1.0
19,-80.20872,37.23666,19.0,1.0
20,-80.22829,37.21478,20.0,1.0
21,-79.90782,37.28293,21.0,1.0
22,-79.90156,37.27814,22.0,1.0
23,-79.88859,37.27571,23.0,1.0
24,-79.88991,37.28169,24.0,1.0
25,-79.87646,37.28313,25.0,1.0
26,-79.87645,37.27721,26.0,1.0
27,-79.88246,37.2677,27.0,1.0
28,-79.89823,37.26943,28.0,1.0
29,-79.87163,37.31687,29.0,1.0
30,-79.86267,37.2874,30.0,1.0
31,-79.85862,37.27431,31.0,1.0
32,-79.87267,37.26204,32.0,1.0
33,-79.88621,37.25015,33.0,1.0
34,-79.87116,37.23266,34.0,1.0
35,-79.91436,37.23746,35.0,1.0
36,-79.97225,37.21091,36.0,1.0
37,-79.98403,37.22739,37.0,1.0
38,-79.97722,37.2303,38.0,1.0
39,-79.9889,37.23067,39.0,1.0
40,-80.0054,37.21364,40.0,1.0
41,-79.99722,37.23453,41.0,1.0
42,-80.00083,37.24219,42.0,1.0
43,-80.01773,37.24112,43.0,1.0
44,-80.02591,37.22189,44.0,1.0
45,-80.02978,37.23689,45.0,1.0
46,-80.04686,37.23965,46.0,1.0
47,-80.06064,37.25234,47.0,1.0
48,-80.12231,37.27617,48.0,1.0
49,-80.12158,37.28246,49.0,1.0
50,-80.10825,37.25732,50.0,1.0
51,-80.132,37.29269,51.0,1.0
52,-80.11485,37.29566,52.0,1.0
53,-80.09098,37.30291,53.0,1.0
54,-80.05968,37.32262,54.0,1.0
55,-80.02254,37.31469,55.0,1.0
56,-80.01167,37.33328,56.0,1.0
57,-79.97924,37.34015,57.0,1.0
58,-80.00778,37.32487,58.0,1.0
59,-79.96578,37.35342,59.0,1.0
60,-79.95031,37.35549,60.0,1.0
61,-79.93985,37.356,61.0,1.0
62,-79.96132,37.34108,62.0,1.0
63,-79.94974,37.33856,63.0,1.0
64,-79.9324,37.34853,64.0,1.0
65,-79.95812,37.32833,65.0,1.0
66,-79.94224,37.32871,66.0,1.0
67,-79.93359,37.33083,67.0,1.0
68,-79.92355,37.33924,68.0,1.0
69,-79.87993,37.32725,69.0,1.0
70,-80.04041,37.25652,70.0,1.0
71,-79.85185,37.29955,71.0,1.0
72,-79.89198,37.32141,72.0,1.0
73,-79.90348,37.20738,73.0,1.0
74,-79.94523,37.20639,74.0,1.0
75,-79.95477,37.1831,75.0,1.0
76,-79.98799,37.1992,76.0,1.0
77,-80.02049,37.20053,77.0,1.0
78,-80.02002,37.18213,78.0,1.0
79,-80.06925,37.19325,79.0,1.0
80,-80.09657,37.19887,80.0,1.0
81,-80.05202,37.21519,81.0,1.0
82,-80.08143,37.22273,82.0,1.0
83,-79.98135,37.15551,83.0,1.0
84,-80.15194,37.28009,84.0,1.0
85,-80.16089,37.25747,85.0,1.0
86,-80.16453,37.23185,86.0,1.0
87,-79.9812,37.35441,87.0,1.0
88,-79.94232,37.27434,88.0,1.0
89,-79.94654,37.27283,89.0,1.0
90,-79.94372,37.26337,90.0,1.0
91,-79.94355,37.25726,91.0,1.0
92,-79.95112,37.26261,92.0,1.0
93,-79.95331,37.27034,93.0,1.0
94,-79.96306,37.27001,94.0,1.0
95,-79.97021,37.27602,95.0,1.0
96,-79.98601,37.26497,96.0,1.0
97,-79.99281,37.25768,97.0,1.0
98,-79.9901,37.24772,98.0,1.0
99,-79.97909,37.25328,99.0,1.0
100,-79.97149,37.26118,100.0,1.0
101,-79.9622,37.26269,101.0,1.0
102,-79.95485,37.25483,102.0,1.0
103,-79.95483,37.25246,103.0,1.0
104,-79.97384,37.24447,104.0,1.0
105,-79.95997,37.23822,105.0,1.0
106,-79.95236,37.24706,106.0,1.0
107,-79.94683,37.24205,107.0,1.0
108,-79.93553,37.2548,108.0,1.0
109,-79.93248,37.23724,109.0,1.0
110,-79.91536,37.24555,110.0,1.0
111,-79.90753,37.25581,111.0,1.0
112,-79.92025,37.25352,112.0,1.0
113,-79.9227,37.26176,113.0,1.0
114,-79.91182,37.26946,114.0,1.0
115,-79.91507,37.27612,115.0,1.0
116,-79.92209,37.27441,116.0,1.0
117,-79.93327,37.26527,117.0,1.0
118,-79.93123,37.27569,118.0,1.0
119,-79.93189,37.28066,119.0,1.0
120,-79.92307,37.28721,120.0,1.0
121,-79.91076,37.28677,121.0,1.0
122,-79.89814,37.28646,122.0,1.0
123,-79.91621,37.29151,123.0,1.0
124,-79.92362,37.29857,124.0,1.0
125,-79.93458,37.30574,125.0,1.0
126,-79.93473,37.29916,126.0,1.0
127,-79.94266,37.29491,127.0,1.0
128,-79.93683,37.28888,128.0,1.0
129,-79.93124,37.28884,129.0,1.0
130,-79.94413,37.27883,130.0,1.0
131,-79.95003,37.27983,131.0,1.0
132,-79.94825,37.28736,132.0,1.0
133,-79.94099,37.28621,133.0,1.0
134,-79.96054,37.29594,134.0,1.0
135,-79.96075,37.28851,135.0,1.0
136,-79.96214,37.28231,136.0,1.0
137,-79.97128,37.28456,137.0,1.0
138,-79.97049,37.29184,138.0,1.0
139,-79.97224,37.3029,139.0,1.0
140,-79.97976,37.29521,140.0,1.0
141,-79.98155,37.28371,141.0,1.0
142,-80.00006,37.28391,142.0,1.0
143,-79.99846,37.29063,143.0,1.0
144,-79.99968,37.29882,144.0,1.0
145,-79.95402,37.30703,145.0,1.0
146,-79.95063,37.29792,146.0,1.0
147,-79.94172,37.30996,147.0,1.0
148,-79.94401,37.31744,148.0,1.0
149,-80.00728,37.25392,149.0,1.0
150,-80.02747,37.25345,150.0,1.0
151,-80.01421,37.25928,151.0,1.0
152,-80.01208,37.26627,152.0,1.0
153,-80.00041,37.27482,153.0,1.0
154,-80.01431,37.28529,154.0,1.0
155,-80.0126,37.29304,155.0,1.0
156,-80.0141,37.30815,156.0,1.0
157,-79.99699,37.30689,157.0,1.0
158,-79.9906,37.31565,158.0,1.0
159,-79.97252,37.32587,159.0,1.0
160,-79.96496,37.32068,160.0,1.0
161,-79.91713,37.31288,161.0,1.0
162,-79.90308,37.30385,162.0,1.0
163,-79.89788,37.29328,163.0,1.0
164,-79.95559,37.2226,164.0,1.0
165,-79.96843,37.24145,165.0,1.0
166,-79.96439,37.30507,166.0,1.0
167,-80.05897,37.29341,167.0,1.0
168,-80.07149,37.27196,168.0,1.0
169,-80.05754,37.29796,169.0,1.0
170,-80.04689,37.29646,170.0,1.0
171,-80.05002,37.2893,171.0,1.0
172,-80.04541,37.30191,172.0,1.0
173,-80.02585,37.30355,173.0,1.0
174,-80.0237,37.29563,174.0,1.0
175,-80.02844,37.28134,175.0,1.0
176,-80.01966,37.27374,176.0,1.0
177,-80.0349,37.26547,177.0,1.0
178,-80.04454,37.27792,178.0,1.0
179,-80.03658,37.28702,179.0,1.0
180,-80.05093,37.28474,180.0,1.0
181,-80.05162,37.27022,181.0,1.0
182,-80.06443,37.27771,182.0,1.0
183,-80.06453,37.28855,183.0,1.0
184,-80.06792,37.29502,184.0,1.0
185,-80.07798,37.29496,185.0,1.0
186,-80.0204,37.26834,186.0,1.0
187,-80.04043,37.31442,187.0,1.0
188,-80.09034,37.29351,188.0,1.0
189,-80.10128,37.28967,189.0,1.0
190,-80.1098,37.286,190.0,1.0
191,-80.0979,37.28301,191.0,1.0
192,-80.08057,37.27952,192.0,1.0
193,-80.05752,37.25982,193.0,1.0
194,-80.06531,37.30477,194.0,1.0
195,-80.04193,37.33138,195.0,1.0
197,-79.94705,37.26993,197.0,1.0
198,-79.9395,37.26982,198.0,1.0
199,-79.94218,37.27059,199.0,1.0
200,-79.94237,37.27296,200.0,1.0
201,-79.94288,37.26808,201.0,1.0
202,-79.94006,37.26429,202.0,1.0
203,-80.05531,37.2923,203.0,1.0
204,-80.05873,37.29157,204.0,1.0
205,-79.95364,37.27356,205.0,1.0
206,-79.96338,37.27494,206.0,1.0
250,-80.2786,37.19036,,0.0
251,-80.04674,37.34361,,0.0
252,-79.97158,37.45789,,0.0
253,-79.89473,37.49241,,0.0
254,-79.87928,37.50294,,0.0
257,-79.83933,37.45886,,0.0
258,-79.77884,37.3946,,0.0
259,-79.78301,37.27048,,0.0
260,-79.82767,37.24127,,0.0
261,-79.8807,37.20759,,0.0
262,-79.97265,37.13141,,0.0
263,-80.0078,37.16414,,0.0
264,-80.11151,37.17336,,0.0
265,-80.23588,37.19211,,0.0
266,-80.08551,37.17949,,0.0
267,-79.81581,37.40925,,0.0
1000,-80.27339,37.19284,,0.0
1001,-80.27339,37.1936,,0.0
