node_id,x_coord,y_coord,zone_id,is_centroid
1,-79.84201,37.26996,2,1
2,-79.83997,37.25162,3,1
3,-79.91477,37.36715,4,1
4,-79.89934,37.35268,5,1
5,-79.86451,37.34278,6,1
6,-79.83544,37.33614,7,1
7,-79.81168,37.36634,8,1
8,-79.8201,37.38608,9,1
9,-79.83156,37.37151,10,1
10,-79.85193,37.36099,11,1
11,-79.89344,37.36083,12,1
12,-79.88377,37.38543,13,1
13,-79.90532,37.40156,14,1
14,-79.91911,37.42717,15,1
15,-79.89482,37.4249,16,1
16,-79.9445,37.44454,18,1
17,-79.86991,37.3773,19,1
18,-79.89764,37.47025,20,1
19,-80.20872,37.23666,21,1
20,-80.22829,37.21478,22,1
21,-79.90782,37.28293,23,1
22,-79.90156,37.27814,24,1
23,-79.88859,37.27571,25,1
24,-79.88991,37.28169,26,1
25,-79.87646,37.28313,27,1
26,-79.87645,37.27721,28,1
27,-79.88246,37.2677,29,1
28,-79.89823,37.26943,30,1
29,-79.87163,37.31687,31,1
30,-79.86267,37.2874,32,1
31,-79.85862,37.27431,33,1
32,-79.87267,37.26204,34,1
33,-79.88621,37.25015,35,1
34,-79.87116,37.23266,36,1
35,-79.91436,37.23746,37,1
36,-79.97225,37.21091,38,1
37,-79.98403,37.22739,39,1
38,-79.97722,37.2303,40,1
39,-79.9889,37.23067,41,1
40,-80.0054,37.21364,42,1
41,-79.99722,37.23453,43,1
42,-80.00083,37.24219,44,1
43,-80.01773,37.24112,45,1
44,-80.02591,37.22189,46,1
45,-80.02978,37.23689,47,1
46,-80.04686,37.23965,48,1
47,-80.06064,37.25234,49,1
48,-80.12231,37.27617,50,1
49,-80.12158,37.28246,51,1
50,-80.10825,37.25732,52,1
51,-80.132,37.29269,53,1
52,-80.11485,37.29566,54,1
53,-80.09098,37.30291,55,1
54,-80.05968,37.32262,56,1
55,-80.02254,37.31469,57,1
56,-80.01167,37.33328,58,1
57,-79.97924,37.34015,59,1
58,-80.00778,37.32487,60,1
59,-79.96578,37.35342,61,1
