stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10235767,,"6th St and Colorado","",37.284299,-80.0534,,,0,,,0,,
4227226,1701,"Downtown Market","",37.27179,-79.93926,,,0,,,0,,
4227227,1702,"Jefferson & Kirk ","",37.271243,-79.940582,,,0,,,0,,
4227228,1703,"Jefferson & Bullitt","",37.269161,-79.940657,,,0,,,0,,
4227229,1704,"Jefferson & Mountain","",37.265962,-79.941055,,,0,,,0,,
4227231,1706,"Jefferson & Reserve (Southbound)","",37.256187,-79.94216,,,0,,,0,,
4235767,1708,"Carillion Roanoke Memorial Hospital ","",37.251808,-79.943068,,,0,,,0,,
4235768,1708,"Riverside Clinic","",37.256161,-79.943233,,,0,,,0,,
4235769,1710,"Radford University Carilion ","",37.265781,-79.940977,,,0,,,0,,
4235770,1711,"Jefferson & Bullitt (Northbound)","",37.268357,-79.940632,,,0,,,0,,
4235771,1712,"Jefferson & Luck","",37.269959,-79.940551,,,0,,,0,,
4235772,1713,"Church & Market","",37.270458,-79.939109,,,0,,,0,,
4235980,,"VTC","",37.257185,-79.94303,,,0,,,0,,
4238977,,"Airport","",37.320702,-79.96927,,,0,,,0,,
4239395,,"Exit 140 -Park and Ride","",37.316316,-80.055211,,,0,,,0,,
4239462,,"Exit 118 - Park and Ride","",37.133394,-80.371633,,,0,,,0,,
4239743,,"CRC","",37.203897,-80.412533,,,0,,,0,,
4313718,,"Blackburg Municipal Building ","",37.227494,-80.411981,,,0,,,0,,
4351304,,"Life Sciences","",37.222313,-80.425016,,,0,,,0,,
4351330,,"Research Building 26","",37.198939,-80.405563,,,0,,,0,,
4351332,,"Kraft Drive at Pratt","",37.201728,-80.409721,,,0,,,0,,
4351333,,"Kraft at Research Center","",37.198919,-80.405477,,,0,,,0,,
4372205,,"Integrated Life Sciences Building","",37.201885,-80.40975,,,0,,,0,,
4387937,,"Laurel St","",37.162249,-80.42121,,,0,,,0,,
4402969,,"Wells at Jefferson","",37.27535,-79.940613,,,0,,,0,,
4420546,,"Roanoke Amtrak Station","",37.273161,-79.940434,,,0,,,0,,
4674736,1714,"Jefferson & Walnut","",37.260551,-79.941503,,,0,,,0,,
4674737,1715,"Jefferson & Walnut","",37.260543,-79.941436,,,0,,,0,,
5695774,,"10th NB at Courtland","",37.295796,-79.94741,,,0,,,1,,
5695775,,"10th NB at Greenhurst","",37.294392,-79.948325,,,0,,,1,,
5695776,,"10th at Staunton","",37.28517,-79.953404,,,0,,,0,,
5695777,,"10th SB at Courtland","",37.295961,-79.947427,,,0,,,0,,
5695778,,"10th SB at Greenhurst","",37.294554,-79.948366,,,0,,,0,,
5695779,,"10th SB at Hanover","",37.284458,-79.953741,,,0,,,0,,
5695780,,"10th SB at Hunt","",37.292675,-79.94959,,,0,,,0,,
5695781,,"10th at Staunton","",37.285351,-79.95345,,,0,,,0,,
5695783,,"11th SB at Highland","",37.268722,-79.925318,,,0,,,0,,
5695784,,"11th SB at Jamison","",37.269697,-79.925692,,,0,,,0,,
5695785,,"11th SB at Montrose","",37.266498,-79.924935,,,0,,,0,,
5695786,,"11th SB at Moorman","",37.281404,-79.956254,,,0,,,0,,
5695787,,"13th NB at Campbell","",37.270563,-79.963768,,,0,,,0,,
5695788,,"13th NB at Cleveland","",37.268882,-79.965145,,,0,,,0,,
5695789,,"13th NB at Montrose","",37.268838,-79.920315,,,0,,,0,,
5695790,,"13th NB at Patterson","",37.27238,-79.963427,,,0,,,0,,
