link_id,AAWDT,mpo_vol_am,mpo_vol_md,mpo_vol_pm,mpo_vol_nt,mpo_vol_total
179,0,146,567,744,268,1725
180,0,179,425,391,166,1161
181,0,48,136,126,55,365
183,0,77,169,131,65,442
183,0,306,508,404,175,1393
184,0,363,511,361,160,1395
185,0,35,81,50,29,195
186,0,337,576,433,187,1533
187,0,63,140,116,58,377
188,0,99,181,137,58,475
189,0,245,451,350,167,1213
190,0,84,176,160,53,473
191,0,94,248,224,82,648
192,0,221,406,364,191,1182
193,0,273,552,455,191,1471
194,0,3,6,5,2,16
195,0,320,611,474,214,1619
196,0,106,200,148,85,539
197,0,175,276,229,96,776
198,0,300,564,420,192,1476
199,0,212,327,242,104,885
200,0,224,565,530,259,1578
201,0,290,867,817,342,2316
202,0,298,782,746,301,2127
203,0,190,494,456,218,1358
205,0,75,140,136,66,417
204,0,195,551,509,198,1453
207,0,139,239,174,86,638
207,0,207,473,375,172,1227
208,0,70,136,124,42,372
209,0,42,78,65,22,207
210,0,243,543,398,69,1253
210,0,71,74,62,140,347
211,0,279,575,525,210,1589
212,0,79,154,120,49,402
213,0,178,304,221,107,810
214,0,167,326,237,100,830
215,0,202,340,246,119,907
216,0,0,0,0,0,0
217,0,69,113,92,36,310
219,0,418,820,705,304,2247
218,0,370,760,610,292,2032
222,0,208,505,433,170,1316
222,0,144,259,240,112,755
224,0,56,114,77,23,270
225,0,224,378,269,128,999
225,0,86,142,127,57,412
226,0,475,807,590,284,2156
227,0,81,138,114,38,371
228,0,648,967,713,322,2650
229,0,266,496,336,150,1248
230,0,8,9,7,3,27
231,0,180,428,383,256,1247
232,0,763,2274,2043,849,5929
233,0,335,740,591,197,1863
234,0,496,676,512,280,1964
235,0,194,420,299,145,1058
236,0,147,257,218,97,719
237,0,237,481,369,165,1252
238,0,442,880,728,320,2370
239,0,429,761,650,268,2108
241,0,1126,2134,1595,665,5520
241,0,410,558,433,281,1682
242,0,342,513,360,164,1379
243,0,522,975,837,322,2656
244,0,120,245,189,99,653
244,0,69,195,178,107,549
245,0,1217,2368,2042,880,6507
246,0,20,37,38,15,110
247,0,24,43,39,17,123
248,0,674,1555,1323,632,4184
249,0,548,912,667,296,2423
250,0,244,561,485,194,1484
251,0,521,1050,943,392,2906
252,0,337,686,452,248,1723
253,0,60,132,200,45,437
254,0,461,1368,1355,602,3786
255,0,322,764,650,298,2034
256,0,744,1670,1348,604,4366
257,0,358,555,392,175,1480
258,0,266,387,284,124,1061
259,0,387,573,397,182,1539
260,0,41,169,100,62,372
261,0,589,923,719,304,2535
262,0,555,835,606,275,2271
263,0,363,660,489,225,1737
264,0,375,84,67,193,719
265,0,25,540,408,11,984
266,0,507,1269,1112,468,3356
267,0,13,35,31,13,92
268,0,572,1144,1071,458,3245
269,0,586,2306,2798,1112,6802
270,0,255,926,901,384,2466
271,0,1118,1810,1327,598,4853
272,0,563,1227,901,172,2863
273,0,118,1117,1745,959,3939
274,0,770,860,939,670,3239
275,0,360,927,589,165,2041
275,0,0,389,296,0,685
276,0,720,1772,1537,675,4704
277,0,43,133,125,56,357
278,0,978,2530,2232,991,6731
279,0,979,2580,2105,1004,6668
280,0,57,182,181,75,495
281,0,146,462,492,196,1296
282,0,93,145,95,45,378
283,0,524,696,485,215,1920
284,0,2,4,3,2,11
